Rang,Nom,Adresse,Telephone,Email,Impressions,Clics,Position
1,"RAD Tournai","Grand'Route 274A, 7530 Tournai, Belgique","+32 69 60 89 02","",644,0,9.3
2,"Kawasaki Saint-Etienne - Première Avenue","1-3 Rue Pierre Loti, 42100 Saint-Étienne, France","+33 4 77 47 28 28","",176,2,7.5
3,"Royal Enfield Lille","3 Rue de la Source Bat B, 59320 Hallennes-lez-Haubourdin, France","+33 3 74 95 83 20","",117,0,9.9
4,"DAFY MOTO SAINT BRICE SOUS FORET","24 Rue de Piscop, 95350 Saint-Brice-sous-Forêt, France","+33 1 39 35 75 26","",104,0,10.7
5,"Mobbie","691 Blvd Charles Cros, 14123 Ifs, France","+33 2 31 35 48 55","",101,0,9
6,"Pro Scoot","48 Rue de l'Île Napoléon, 68170 Rixheim, France","+33 3 89 44 44 70","",100,0,9.5
7,"SPEEDWAY HERBLAY","3 ter Av. du Général Leclerc, 95480 Pierrelaye","01 34 32 06 09","",100,0,10.4
8,"DAFY MOTO LIVRY-GARGAN","36 Av. du Consul Général Nordling, 93190 Livry-Gargan","01 80 89 22 83","",90,0,5.8
9,"Horizon Ride BMW Motorrad Saint-Maximin","Village St MAX MOTO, zac du Bois des Fenêtres, Rue Louis Saint-Just, 60740 Saint-Maximin, France","+33 3 44 25 09 55","",84,0,8
10,"RIDE AVENUE FREJUS","502 Av. lou Gabian, 83600 Fréjus, France","+33 4 94 51 47 13","",81,0,9.4
11,"Moto Repere Angers","1 Rue Charles Sauria, 49130 Les Ponts-de-Cé, France","+33 2 41 69 15 28","",78,0,8.5
12,"KD QUAD - Concessionnaire CAN-AM / CF MOTO / KYMCO","Rue Arthur Trigaux 246, 7170 Manage, Belgique","+32 64 70 09 70","",77,0,7.5
13,"JM Motors Anglet","41 Rte de Pitoys, 64600 Anglet, France","+33 6 61 64 19 75","",75,0,7.5
14,"BMW HELICE 69 Lyon-Sud MoTown","2 Rue des Frères Louis et Emile Bertrand, 69200 Vénissieux, France","+33 4 78 95 21 87","",75,0,9.3
15,"Holeshot Racing - Concessionnaire Yamaha Motos, Scooters et Quads/SSV - Saint Omer","6 Rue des Bleuets, 62500 Saint-Martin-lez-Tatinghem","03 21 12 70 79","",72,0,7.4
16,"DUCATI MONTPELLIER","zone fréjorgues est, 199 Rue Etienne Lenoir 2, 34130 Mauguio, France","+33 4 11 95 12 80","",71,0,9.4
17,"honda-grande-armee","","","",68,0,8.4
18,"BECANE N6","156 Rue de Paris, 94190 Villeneuve-Saint-Georges, France","+33 6 64 53 79 73","",65,0,5.4
19,"yamaha-motor-france-paris-xv","","","",62,0,8.7
20,"kove-moto-aubiere","","","",58,0,9
21,"Triumph Orleans","878 Rue de la Bergeresse, 45160 Olivet, France","+33 2 38 64 94 23","",57,0,8.3
22,"moto-69-brignais","","","",55,0,8.1
23,"honda-moto-quimper","","","",53,0,9.5
24,"cf-moto-villefranche-sur-saone","","","",52,0,8.8
25,"racing-concept-43","","","",54,0,10.2
